#2025/12/18 16:45:13
time,wx,wy,wz,ax,ay,az,T,pitch,roll,yaw,gps_status_code
1.697,-0.18657,0.02477,-0.00527,-0.01179,0.05770,-9.79888,30.0,-0.03988,-0.34123,359.99484,1
1.707,-0.09506,-0.00941,-0.00256,-0.00890,0.04576,-9.79908,30.0,-0.06083,-0.33371,359.99478,1
1.717,-0.08203,-0.04411,-0.00038,-0.00475,0.04416,-9.79038,30.0,-0.03666,-0.32548,359.99475,1
1.727,-0.09949,-0.01448,-0.00162,-0.00930,0.05539,-9.79878,30.0,-0.05716,-0.32052,359.99469,1
1.737,-0.12812,-0.02480,-0.00414,-0.01391,0.05372,-9.79899,30.0,-0.03451,-0.30967,359.99466,1
1.747,-0.11740,0.03591,-0.00337,-0.02162,0.04712,-9.80485,30.0,-0.05706,-0.30245,359.99463,1
1.757,-0.02445,-0.00489,-0.00129,-0.01270,0.05948,-9.79553,30.0,-0.03757,-0.31255,359.99463,1
1.767,-0.05556,0.02214,-0.00279,-0.00926,0.04940,-9.79781,30.0,-0.05867,-0.31163,359.99460,1
1.777,-0.09032,0.13986,-0.00348,-0.02874,0.05427,-9.80136,30.0,-0.06717,-0.32523,359.99460,1
1.787,-0.14705,0.07704,-0.00729,-0.02127,0.05918,-9.79116,30.0,-0.08567,-0.32772,359.99457,1
1.797,-0.01388,0.03248,-0.00700,-0.01856,0.06110,-9.79904,30.0,-0.09104,-0.34630,359.99457,1
1.807,-0.05200,0.10093,-0.00516,-0.02043,0.05883,-9.79905,30.0,-0.10874,-0.33323,359.99451,1
1.817,-0.04366,0.01968,-0.00288,-0.00927,0.06102,-9.79335,30.0,-0.10662,-0.35668,359.99448,1
1.827,-0.04158,0.13919,-0.00275,-0.01095,0.04998,-9.79988,30.0,-0.09536,-0.33660,359.99438,1
1.837,-0.06194,0.05567,-0.00282,-0.01157,0.05463,-9.79651,30.0,-0.09296,-0.35910,359.99435,1
1.847,-0.04761,0.02390,-0.00155,-0.01181,0.05049,-9.79815,30.0,-0.08274,-0.33806,359.99429,1
1.857,-0.06373,-0.05290,0.00176,-0.01482,0.05478,-9.79287,30.0,-0.08272,-0.36112,359.99429,1
1.867,-0.02650,0.02557,0.00155,-0.01015,0.05355,-9.79976,30.0,-0.08029,-0.33907,359.99426,1
1.877,-0.07810,-0.00938,0.00047,-0.00847,0.05903,-9.80829,30.0,-0.07584,-0.36252,359.99429,1
1.887,-0.05345,-0.04397,0.00171,-0.00477,0.06112,-9.80276,30.0,-0.07225,-0.34058,359.99426,1
1.897,-0.08827,-0.05743,-0.00174,0.00254,0.05902,-9.80367,30.0,-0.05769,-0.36199,359.99429,1
1.907,-0.12461,0.06632,-0.00438,-0.01835,0.05801,-9.80662,30.0,-0.05616,-0.34396,359.99426,1
1.917,-0.04884,-0.05792,-0.00260,-0.01460,0.06072,-9.81382,30.0,-0.04600,-0.36730,359.99429,1
1.927,-0.13146,0.04449,-0.00247,-0.01891,0.05277,-9.80762,30.0,-0.05083,-0.34940,359.99423,1
1.937,-0.05224,0.04127,-0.00210,-0.03242,0.05555,-9.80511,30.0,-0.07802,-0.36243,359.99423,1
1.947,-0.08860,0.08265,-0.00434,-0.01986,0.05383,-9.80733,30.0,-0.09359,-0.34617,359.99417,1
1.957,-0.05795,0.05571,-0.00247,-0.01801,0.06793,-9.79935,30.0,-0.10460,-0.36684,359.99417,1
1.967,-0.06820,0.02378,-0.00258,-0.00859,0.07049,-9.81114,30.0,-0.11254,-0.35211,359.99414,1
1.977,-0.04984,-0.00979,-0.00080,-0.01657,0.06536,-9.79779,30.0,-0.12539,-0.36973,359.99414,1
1.987,-0.10927,-0.00151,-0.00074,-0.01970,0.06047,-9.80152,30.0,-0.10087,-0.36320,359.99411,1
1.997,-0.19825,0.00124,-0.00050,-0.01198,0.05571,-9.80012,30.0,-0.11359,-0.38186,359.99414,1
2.007,-0.07728,-0.03976,-0.00148,-0.02081,0.04786,-9.79939,30.0,-0.10438,-0.36078,359.99408,1
2.017,-0.09848,0.09471,-0.00460,-0.01826,0.05969,-9.79042,30.0,-0.11722,-0.37800,359.99408,1
2.027,-0.01690,-0.02544,-0.00090,-0.00858,0.05548,-9.80475,30.0,-0.10249,-0.36063,359.99402,1
2.037,-0.05250,-0.00722,-0.00047,-0.01377,0.05675,-9.81011,30.0,-0.11729,-0.37763,359.99405,1
2.047,-0.02240,0.06453,-0.00225,-0.01860,0.06309,-9.80035,30.0,-0.10269,-0.35962,359.99399,1
2.057,-0.12087,0.02674,-0.00068,-0.01163,0.06857,-9.79971,30.0,-0.10380,-0.38360,359.99402,1
2.067,-0.02624,0.05612,-0.00000,-0.00888,0.06176,-9.79649,30.0,-0.09228,-0.36391,359.99396,1
2.077,-0.12204,-0.01948,-0.00042,-0.00200,0.05628,-9.80417,30.0,-0.08152,-0.38609,359.99399,1
2.087,-0.09313,0.05957,-0.00112,-0.01410,0.05108,-9.80394,30.0,-0.06744,-0.36951,359.99393,1
2.097,-0.12598,0.04649,-0.00189,-0.01587,0.04915,-9.81272,30.0,-0.07630,-0.35088,359.99390,1
2.107,-0.00547,-0.02221,-0.00074,-0.01054,0.06618,-9.79855,30.0,-0.07185,-0.33078,359.99384,1
2.117,-0.07006,-0.02763,0.00028,-0.01143,0.06378,-9.79601,30.0,-0.06620,-0.35384,359.99387,1
2.127,-0.05072,-0.00792,-0.00119,-0.01185,0.05697,-9.80386,30.0,-0.07628,-0.33418,359.99384,1
2.137,-0.04367,0.04263,-0.00344,-0.01489,0.05432,-9.80093,30.0,-0.09510,-0.34761,359.99387,1
2.147,-0.08467,-0.00286,-0.00263,-0.01306,0.05924,-9.79398,30.0,-0.08502,-0.36966,359.99387,1
2.157,-0.12244,-0.02036,-0.00334,-0.01231,0.05814,-9.78837,30.0,-0.10584,-0.37668,359.99387,1
2.167,-0.02639,-0.02637,-0.00284,-0.01505,0.05180,-9.79500,30.0,-0.11326,-0.35386,359.99380,1
2.177,0.03128,0.12201,-0.00432,-0.00741,0.06727,-9.80360,30.0,-0.10543,-0.37375,359.99380,1
2.187,0.03204,0.07101,-0.00124,-0.01330,0.06420,-9.80673,30.0,-0.08854,-0.36015,359.99374,1
2.197,-0.07833,0.07237,-0.00237,-0.00380,0.06908,-9.81106,30.0,-0.07757,-0.37690,359.99371,1
2.207,-0.11999,0.00836,-0.00096,-0.00893,0.05900,-9.80961,30.0,-0.05686,-0.36878,359.99365,1
2.217,-0.11318,-0.10197,0.00073,-0.00199,0.06113,-9.80331,30.0,-0.04031,-0.38445,359.99365,1
2.227,-0.08961,0.00657,-0.00213,-0.01111,0.05886,-9.79778,30.0,-0.04951,-0.36446,359.99362,1
