#2025/09/09 15:11:30
time,wx,wy,wz,ax,ay,az,T,pitch,roll,yaw
1.447,-0.01442,0.04776,0.00838,0.04151,0.02875,9.78959,0.0,-0.26005,0.19417,0.00685
1.457,0.04757,-0.00728,0.06763,0.04962,0.04652,9.80439,0.0,-0.26811,0.08064,0.00728
1.467,0.00596,-0.00677,0.04720,0.04680,0.05330,9.80412,0.0,-0.29046,0.19267,0.00752
1.477,0.08758,0.00519,0.03930,0.03983,0.04410,9.79217,0.0,-0.26912,0.30404,0.00706
1.487,-0.01168,0.04181,0.03631,0.03713,0.04355,9.80539,0.0,-0.19941,0.21556,0.00751
1.497,-0.08210,-0.05472,-2.10723,-0.51881,0.14643,9.81630,0.0,-0.22154,0.32596,0.00718
1.507,-0.14262,-0.02579,-4.11048,-0.86479,0.29169,9.80256,0.0,-0.11132,0.34373,-0.02746
1.517,-0.01684,0.05231,-10.31327,-1.09801,0.46199,9.80310,0.0,-0.00380,0.37339,-0.08124
1.527,-0.11043,0.04791,-14.81423,-1.04175,0.50056,9.82704,0.0,0.09980,0.41488,-0.22293
1.537,0.01459,0.01422,-21.60479,-1.02897,0.45638,9.80069,0.0,0.19928,0.45728,-0.39903
1.547,-0.03558,0.00057,-24.93064,-0.62948,0.39825,9.78174,0.0,0.30084,0.49231,-0.65714
1.557,-0.06615,-0.03786,-28.16053,-0.30758,0.21710,9.80137,0.0,0.38309,0.55687,-0.92686
1.567,-0.02481,0.09111,-29.30843,-0.11031,0.07429,9.79413,0.0,0.48591,0.57641,-1.22851
1.577,-0.10523,0.05154,-28.27155,0.38631,-0.04502,9.82402,0.0,0.42521,0.49618,-1.52955
1.587,0.13564,0.03856,-26.86360,0.57332,-0.21131,9.80297,0.0,0.33094,0.46689,-1.80628
1.597,0.08734,0.05463,-24.28000,0.77523,-0.26306,9.80084,0.0,0.24481,0.42151,-2.06670
1.607,0.15685,0.02848,-21.21511,0.59394,-0.12382,9.82653,0.0,0.15393,0.38484,-2.29391
1.617,-0.02277,0.11613,-18.30021,0.36736,0.00885,9.82736,0.0,0.05726,0.36633,-2.48741
1.627,0.16979,0.04144,-17.39136,0.01085,0.08309,9.82175,0.0,-0.04007,0.37676,-2.65265
1.637,0.11267,0.07801,-16.91504,-0.37148,0.10262,9.80185,0.0,0.05876,0.40858,-2.82119
1.647,0.03511,0.11347,-19.78019,-0.76083,0.16014,9.79125,0.0,0.16336,0.41663,-2.98763
1.657,-0.01677,0.02755,-24.15832,-0.96027,0.32931,9.79888,0.0,0.26784,0.42859,-3.20334
1.667,0.09165,0.09479,-28.24274,-1.11358,0.37041,9.82555,0.0,0.36519,0.45966,-3.47206
1.677,-0.19072,-0.14653,-31.47096,-0.88739,0.43021,9.80896,0.0,0.46459,0.48530,-3.77978
1.687,-0.11804,0.15931,-33.56634,-0.46878,0.44421,9.81446,0.0,0.54972,0.52744,-4.11430
1.697,-0.34860,0.03172,-34.69980,-0.38882,0.36125,9.81965,0.0,0.58650,0.61576,-4.46222
1.707,-0.22877,-0.20269,-34.68030,-0.08523,0.30300,9.77717,0.0,0.66353,0.66965,-4.81580
1.717,-0.43367,-0.16196,-34.83444,0.03382,0.18657,9.77885,0.0,0.58650,0.71969,-5.16218
1.727,-0.04536,-0.18688,-35.27042,0.13570,0.10972,9.78842,0.0,0.49447,0.70694,-5.51177
1.737,0.11233,-0.02003,-35.29734,0.01153,0.05682,9.78027,0.0,0.40378,0.68674,-5.86758
1.747,0.60561,0.11314,-35.77107,-0.04508,0.20146,9.77398,0.0,0.40505,0.59148,-6.22163
1.757,0.17665,0.06006,-36.05903,-0.14399,0.28032,9.82195,0.0,0.41673,0.69221,-6.58181
1.767,0.15297,0.10696,-36.73991,-0.14018,0.30158,9.81953,0.0,0.47222,0.76772,-6.94380
1.777,0.28496,0.14802,-36.45101,-0.48289,0.25683,9.89283,0.0,0.50691,0.85546,-7.31486
1.787,0.44486,-0.02281,-37.71855,-0.42119,0.44276,9.85532,0.0,0.60571,0.86770,-7.67767
1.797,0.29139,-0.31004,-37.20076,-0.12432,0.28415,9.84422,0.0,0.66256,0.94469,-8.06210
1.807,0.08800,-0.02425,-37.72508,0.14354,0.16463,9.78964,0.0,0.57291,0.95521,-8.43108
1.817,0.34643,0.09853,-37.93638,-0.02110,0.07487,9.79260,0.0,0.49051,0.93525,-8.81191
1.827,-0.17132,-0.05767,-38.00547,-0.10481,0.07003,9.79962,0.0,0.52306,0.84813,-9.19356
1.837,-0.21998,0.08206,-40.33652,-0.10717,0.09761,9.80226,0.0,0.58735,0.76932,-9.57498
1.847,-0.21990,0.37789,-43.32699,-0.06957,0.17876,9.77057,0.0,0.63440,0.67899,-9.99387
1.857,-0.41214,0.14784,-44.53302,0.14053,0.21270,9.77622,0.0,0.60228,0.75201,-10.44494
1.867,-0.68025,-0.10689,-47.07124,0.24157,0.25212,9.74574,0.0,0.52123,0.76684,-10.89771
1.877,-0.56803,0.09499,-47.32013,0.46435,0.08468,9.75802,0.0,0.44165,0.78545,-11.38411
1.887,0.07329,0.03355,-45.81105,0.48137,-0.10582,9.79253,0.0,0.36365,0.75749,-11.85917
1.897,0.36203,0.13176,-41.87559,0.56222,-0.29044,9.80881,0.0,0.29456,0.71171,-12.30846
1.907,0.52611,0.29094,-38.96218,0.47163,-0.44044,9.81218,0.0,0.23151,0.65967,-12.70336
1.917,0.10418,0.06160,-35.65193,0.66244,-0.40067,9.75403,0.0,0.18792,0.59103,-13.07544
1.927,0.04060,0.05195,-32.90190,0.76505,-0.44140,9.74374,0.0,0.11254,0.54270,-13.41187
1.937,0.15855,0.02741,-29.43971,0.76844,-0.38921,9.78123,0.0,0.03947,0.49174,-13.72420
1.947,0.07531,-0.15921,-27.38467,0.62149,-0.38988,9.77781,0.0,-0.03873,0.44814,-13.99746
1.957,0.02041,-0.04334,-26.08325,0.48523,-0.34306,9.75570,0.0,-0.10975,0.38594,-14.25880
1.967,-0.15151,-0.09942,-25.55354,0.33799,-0.22503,9.79160,0.0,-0.17505,0.31946,-14.51167
1.977,-0.05517,-0.05348,-25.57757,0.07685,-0.06512,9.81112,0.0,-0.24439,0.25152,-14.76395
1.987,-0.25665,-0.05980,-25.27428,0.03053,0.03124,9.77999,0.0,-0.14682,0.24519,-15.02012
1.997,-0.35481,-0.07336,-24.25397,0.19095,0.00620,9.75629,0.0,-0.10459,0.32958,-15.27144
2.007,-0.31617,-0.07794,-23.36901,0.14814,0.10265,9.77973,0.0,-0.19830,0.30334,-15.50787
2.017,0.05647,-0.01076,-21.76087,0.17921,0.18656,9.77083,0.0,-0.25849,0.37796,-15.73666
2.027,-0.11408,-0.05353,-18.70213,0.48478,0.20975,9.75852,0.0,-0.32182,0.45554,-15.94496
2.037,0.02652,0.03093,-16.29593,1.31971,-0.03457,9.79557,0.0,-0.41783,0.47730,-16.11349
2.047,0.07201,0.10747,-8.42140,1.58252,-0.24271,9.78319,0.0,-0.51297,0.46481,-16.26171
2.057,-0.03861,-0.05154,-4.21798,0.59380,-0.07484,9.79012,0.0,-0.60693,0.43999,-16.29725
2.067,0.00507,-0.00142,-2.33276,0.18931,0.07169,9.78377,0.0,-0.51268,0.40252,-16.31337
2.077,0.04396,-0.07028,-2.17239,-0.01568,0.16888,9.77833,0.0,-0.42402,0.45845,-16.32576
2.087,-0.09340,-0.04265,-1.88503,-0.11474,0.18836,9.79110,0.0,-0.33835,0.51985,-16.34717
2.097,-0.14550,-0.07617,-1.82901,-0.14073,0.20757,9.79300,0.0,-0.24154,0.56417,-16.36474
2.107,-0.20959,0.03190,-1.22640,-0.23615,-0.07064,9.77928,0.0,-0.15014,0.61948,-16.38315
2.117,-0.10441,-0.03612,-4.32313,-0.36173,-0.09154,9.77097,0.0,-0.07503,0.53682,-16.39179
2.127,0.04280,-0.01730,-7.88566,-0.39222,0.06828,9.77944,0.0,0.02494,0.49308,-16.45441
2.137,-0.04085,-0.16546,-9.79513,-0.19330,0.14992,9.78855,0.0,0.13262,0.51592,-16.55551
2.147,0.16446,-0.07700,-10.71876,-0.36644,0.13110,9.80399,0.0,0.17386,0.61457,-16.66527
2.157,-0.02972,0.11996,-11.13629,-0.15658,0.08559,9.78915,0.0,0.28331,0.62044,-16.77841
2.167,0.10301,-0.00162,-13.34127,-0.25471,0.21249,9.80407,0.0,0.24338,0.51973,-16.89303
2.177,0.25125,-0.06936,-14.79725,-0.39005,0.25508,9.80385,0.0,0.33069,0.58454,-17.04002
2.187,0.17763,-0.07420,-15.11645,-0.43878,0.25075,9.81862,0.0,0.42954,0.62950,-17.19697
2.197,0.10342,0.15491,-16.84311,-0.29144,0.34916,9.81522,0.0,0.53092,0.66499,-17.35007
2.207,-0.23660,-0.12361,-18.23382,-0.33879,0.33961,9.76656,0.0,0.57301,0.76298,-17.52844
2.217,-0.06418,-0.07341,-18.86247,-0.02190,0.42721,9.77450,0.0,0.65647,0.81937,-17.71899
